time,r_pns,mass_pns
0.29,98.67621742474441,0.27387136523872596
0.3,59.9022298753512,0.5210356891683039
0.31,74.1898008575986,0.6118142851558138
0.32,77.8016701501387,0.6512103473984826
0.33,77.8016701501387,0.6794206096277956
0.34,75.9742746910253,0.6992687539222748
0.35,74.1898008575986,0.7160643999276008
0.36,72.44724051232481,0.7315958425391288
0.37,70.7456091966726,0.7462320238618335
0.38,69.08394557494411,0.7602274710645085
0.39,65.8767884387524,0.7708021271135398
0.4,64.3294830425875,0.783545199469777
0.41,62.8185205533211,0.7960788677260303
0.42,61.3430473535063,0.8075653902018296
0.43,59.9022298753512,0.8182656139460527
0.44,58.4952541297953,0.8283839330840035
0.45,58.4952541297953,0.839712570244337
0.46,57.1213252466468,0.848229106634875
0.47,55.7796670255208,0.8569534471041117
0.48,54.469521497326,0.8650723352786021
0.49,53.1901484960497,0.8728687971692545
0.5,51.940825240601896,0.8802790876834315
0.51,50.7208459264803,0.8868609260807705
0.52,49.5295213270266,0.8933847214341079
0.53,49.5295213270266,0.8995547540245978
0.54,48.3661784040482,0.9052871190910705
0.55,47.230159927585305,0.9105886274302868
0.56,46.1208241046099,0.9153997754643192
0.57,45.037544216444296,0.9196217477660492
0.58,45.037544216444296,0.9244974070238594
0.59,43.9797082646977,0.928942934983136
0.6,43.9797082646977,0.9333818617127532
0.61,42.94671862551709,0.9369333225148709
0.62,42.94671862551709,0.9408416651353739
0.63,41.9379917119606,0.9439475180229231
0.64,40.9529576443001,0.9467706047937927
0.65,40.9529576443001,0.9496054308442229
0.66,39.991059928068005,0.9518282733362443
0.67,39.0517551396662,0.9535742303863647
0.68,39.0517551396662,0.9557194280890897
0.69,38.1345126193589,0.9571500806993738
0.7,38.1345126193589,0.9587918925142223
0.71,37.2388141714767,0.960202393374116
0.72,37.2388141714767,0.9619593128899099
0.73,36.3641537716626,0.9632552366886192
0.74,36.3641537716626,0.9648230792161996
0.75,35.5100372809934,0.966159562403103
0.76,35.5100372809934,0.967840902176941
0.77,34.675982166816404,0.969168775219433
0.78,34.675982166816404,0.9708564586633627
0.79,33.8615172301428,0.9722124993051315
0.8,33.8615172301428,0.9738649756684316
0.81,33.8615172301428,0.9754378351832316
0.82,33.0661823394439,0.9766530259021817
0.83,33.0661823394439,0.9782482560626219
0.84,33.0661823394439,0.9797580313751794
0.85,32.2895281707003,0.9811311629883201
0.86,31.5311159535566,0.982338662543426
0.87,31.5311159535566,0.9838835492902679
0.88,31.5311159535566,0.9853772339562418
0.89,30.7905172234379,0.9866555520983504
0.9,30.7905172234379,0.9881913564628954
0.91,30.0673135794893,0.9893981042267355
0.92,30.0673135794893,0.9908837632912347
0.93,30.0673135794893,0.9923731018229013
0.94,29.361096448200698,0.9935353179097655
0.95,29.361096448200698,0.9949817800653461
0.96,29.361096448200698,0.9965046862244259
0.97,28.6714668525828,0.9977997038627917
0.98,28.6714668525828,0.9991304239114991
0.99,28.6714668525828,1.0005786574599471
1.0,27.998035186766103,1.0018501068909365
1.01,27.998035186766103,1.0031540071370393
1.02,27.998035186766103,1.0045198519561787
1.03,27.340420995892597,1.0058550989011685
1.04,27.340420995892597,1.0073197526753381
1.05,26.6982527611782,1.0086303271311736
1.06,26.0711676900237,1.0098931139719778
1.07,26.0711676900237,1.011201466153009
1.08,26.6982527611782,1.0125852082217102
1.09,26.0711676900237,1.0138669044978623
1.1,26.0711676900237,1.0152758431316729
1.11,25.4588115110549,1.0164908729788682
1.12,25.4588115110549,1.0179045616076443
1.13,24.8608382739772,1.0191488328661522
1.14,24.8608382739772,1.0205255314840207
1.15,24.8608382739772,1.0217591082113098
1.16,24.8608382739772,1.0230825433191175
1.17,24.2769101541316,1.0242948826204712
1.18,24.2769101541316,1.0255879497362748
1.19,24.2769101541316,1.0268776414124163
1.2,23.7066972616403,1.0280923010397691
1.21,23.7066972616403,1.0294292917337249
1.22,23.7066972616403,1.0307122300448526
1.23,23.7066972616403,1.032044385093809
1.24,23.149877455036002,1.0332968040903339
1.25,23.149877455036002,1.0345931003384574
1.26,23.149877455036002,1.0358674439672702
1.27,22.6061361592678,1.0370641867308563
1.28,22.6061361592678,1.0383501099453167
1.29,23.149877455036002,1.039694396781793
1.3,22.6061361592678,1.040833930761216
1.31,22.6061361592678,1.042102363249436
1.32,22.6061361592678,1.0433700725818975
1.33,22.6061361592678,1.0446452954549494
1.34,22.075166187982802,1.0458104316942667
1.35,22.075166187982802,1.0470972708852155
1.36,22.075166187982802,1.0483181699061124
1.37,21.5566675699808,1.0494656437863892
1.38,21.5566675699808,1.0507159864549842
1.39,21.5566675699808,1.0520144348968619
1.4,21.5566675699808,1.0532662537934072
1.41,21.5566675699808,1.05452655647843
1.42,21.5566675699808,1.0557000958002447
1.43,21.5566675699808,1.0569706468659288
1.44,21.5566675699808,1.0582198398825824
1.45,21.050347379746,1.0594077913069622
1.46,21.050347379746,1.0606193641939006
1.47,21.050347379746,1.0618496231778227
1.48,20.5559195719589,1.0630080773702586
1.49,20.5559195719589,1.0642676966007873
1.5,20.5559195719589,1.065464637730016
1.51,20.5559195719589,1.066718923355527
1.52,20.5559195719589,1.0679580772697308
1.53,20.5559195719589,1.069169189074633
1.54,20.073104819895,1.070339661160398
1.55,20.073104819895,1.0715590490412783
1.56,20.073104819895,1.072755530943523
1.57,20.5559195719589,1.0739837597425301
1.58,20.5559195719589,1.075173786065418
1.59,20.5559195719589,1.0763290734554773
1.6,20.5559195719589,1.077536398777976
1.61,20.5559195719589,1.078740084087271
1.62,20.5559195719589,1.0799467966593164
1.63,20.5559195719589,1.0811192162259782
1.64,20.5559195719589,1.0823375566568927
1.65,20.5559195719589,1.0835784025942983
1.66,20.073104819895,1.0847389621978705
1.67,20.073104819895,1.0859540352752337
1.68,20.073104819895,1.087179784074784
1.69,20.073104819895,1.0883900139942435
1.7,20.073104819895,1.0895979651232222
1.71,19.6016303576194,1.0907127250814008
1.72,19.6016303576194,1.0919424725918512
1.73,20.073104819895,1.0931801372233685
1.74,19.6016303576194,1.0943141945934711
1.75,19.6016303576194,1.0954787770832768
1.76,19.6016303576194,1.096673403047747
1.77,19.6016303576194,1.0978501162662169
1.78,19.6016303576194,1.099015535043716
1.79,19.141229825887702,1.1001091082623011
1.8,19.141229825887702,1.1010919063275562
1.81,19.141229825887702,1.1021172735901041
1.82,19.141229825887702,1.1031827641728693
1.83,19.141229825887702,1.1042662500497789
1.84,19.141229825887702,1.105100490376497
1.85,18.691643121667,1.1059341842536037
1.86,18.691643121667,1.1066957716600287
1.87,18.691643121667,1.1073448992499106
1.88,18.691643121667,1.1079718836662698
1.89,18.691643121667,1.108505446436537
1.9,18.691643121667,1.1093255460901899
1.91,18.2526162511899,1.1100573637205375
1.92,18.2526162511899,1.1107121848786443
1.93,18.2526162511899,1.111323180915601
1.94,18.2526162511899,1.111979608824073
1.95,18.2526162511899,1.1126219799509114
1.96,18.2526162511899,1.113270066583528
1.97,18.691643121667,1.1141376602711899
1.98,18.2526162511899,1.1150334061383311
1.99,18.2526162511899,1.1159065143424554
2.0,18.2526162511899,1.1166513176388244
1.72,19.6016303576194,1.0919424725918512
1.73,20.073104819895,1.0931801372233685
1.74,19.6016303576194,1.0943141945934711
1.75,19.6016303576194,1.0954787770832768
1.76,19.6016303576194,1.096673403047747
1.77,19.6016303576194,1.0978501162662169
1.78,19.6016303576194,1.099015535043716
1.79,19.141229825887702,1.1001091082623011
1.8,19.141229825887702,1.1010919063275562
1.81,19.141229825887702,1.1021172735901041
1.82,19.141229825887702,1.1031827641728693
1.83,19.141229825887702,1.1042662500497789
1.84,19.141229825887702,1.105100490376497
1.85,18.691643121667,1.1059341842536037
1.86,18.691643121667,1.1066957716600287
1.87,18.691643121667,1.1073448992499106
1.88,18.691643121667,1.1079718836662698
1.89,18.691643121667,1.108505446436537
1.9,18.691643121667,1.1093255460901899
1.91,18.2526162511899,1.1100573637205375
1.92,18.2526162511899,1.1107121848786443
1.93,18.2526162511899,1.111323180915601
1.94,18.2526162511899,1.111979608824073
1.95,18.2526162511899,1.1126219799509114
1.96,18.2526162511899,1.113270066583528
1.97,18.691643121667,1.1141376602711899
1.98,18.2526162511899,1.1150334061383311
1.99,18.2526162511899,1.1159065143424554
2.0,18.2526162511899,1.1166513176388244
